Accident_ID,Accident_Date,Year,Month,Day_of_Week,Time_of_Day,Province,District,Road_Type,Vehicle_Type,Weather,Cause_of_Accident,Severity,Deaths,Injuries,Vehicles_Involved
1,02/13/2021,2021,February,Saturday,Morning,Gandaki,Tanahun,Highway,Motorcycle,Rainy,Careless Driving,Minor,0,0,1
2,02/12/2021,2021,February,Friday,Night,Lumbini,Dang,Highway,Truck,Clear,Drunk Driving,Minor,0,2,2
3,09/14/2023,2023,September,Thursday,Afternoon,Madhesh,Bara,Highway,Car,Rainy,Over-speeding,Minor,0,2,3
4,07/05/2021,2021,July,Monday,Morning,Gandaki,Kaski,Highway,Truck,Clear,Careless Driving,Minor,0,1,2
5,04/15/2020,2020,April,Wednesday,Morning,Lumbini,Dang,Urban Road,Motorcycle,Foggy,Over-speeding,Minor,0,0,2
6,02/17/2020,2020,February,Monday,Evening,Koshi,Morang,Highway,Motorcycle,Clear,Over-speeding,Minor,0,2,1
7,10/05/2020,2020,October,Monday,Early Morning,Gandaki,Tanahun,Urban Road,Motorcycle,Clear,Poor Road Condition,Minor,0,0,2
8,04/24/2020,2020,April,Friday,Night,Bagmati,Chitwan,Urban Road,Motorcycle,Foggy,Over-speeding,Minor,0,2,1
9,12/22/2020,2020,December,Tuesday,Morning,Madhesh,Bara,Rural Road,Motorcycle,Clear,Over-speeding,Fatal,4,2,3
10,01/15/2021,2021,January,Friday,Afternoon,Koshi,Sunsari,Highway,Bus,Clear,Drunk Driving,Serious,0,6,3
11,03/01/2022,2022,March,Tuesday,Night,Sudurpashchim,Kanchanpur,Highway,Truck,Foggy,Careless Driving,Minor,0,1,4
12,04/16/2021,2021,April,Friday,Morning,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,2,2
13,10/12/2023,2023,October,Thursday,Afternoon,Sudurpashchim,Dadeldhura,Highway,Jeep,Rainy,Drunk Driving,Serious,0,5,3
14,08/23/2021,2021,August,Monday,Night,Koshi,Jhapa,Highway,Truck,Clear,Over-speeding,Fatal,3,4,2
15,10/21/2023,2023,October,Saturday,Evening,Bagmati,Chitwan,Highway,Motorcycle,Clear,Over-speeding,Serious,0,6,3
16,10/07/2024,2024,October,Monday,Morning,Karnali,Dailekh,Urban Road,Motorcycle,Clear,Poor Road Condition,Minor,0,2,2
17,09/06/2023,2023,September,Wednesday,Night,Gandaki,Tanahun,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,0,2
18,02/24/2021,2021,February,Wednesday,Evening,Lumbini,Dang,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,2,3
19,02/12/2020,2020,February,Wednesday,Night,Madhesh,Parsa,Highway,Motorcycle,Clear,Mechanical Failure,Fatal,3,1,3
20,11/03/2024,2024,November,Sunday,Morning,Madhesh,Dhanusha,Highway,Motorcycle,Rainy,Mechanical Failure,Serious,0,5,4
21,01/04/2024,2024,January,Thursday,Morning,Gandaki,Syangja,Highway,Car,Rainy,Drunk Driving,Minor,0,1,4
22,12/26/2024,2024,December,Thursday,Early Morning,Lumbini,Banke,Urban Road,Jeep,Clear,Over-speeding,Fatal,6,2,4
23,09/03/2023,2023,September,Sunday,Night,Koshi,Sunsari,Highway,Motorcycle,Clear,Over-speeding,Serious,0,6,2
24,03/24/2022,2022,March,Thursday,Night,Lumbini,Rupandehi,Highway,Bus,Clear,Drunk Driving,Minor,0,1,4
25,08/27/2020,2020,August,Thursday,Afternoon,Madhesh,Dhanusha,Urban Road,Motorcycle,Foggy,Poor Road Condition,Minor,0,1,2
26,08/29/2023,2023,August,Tuesday,Early Morning,Karnali,Dailekh,Urban Road,Bus,Clear,Over-speeding,Fatal,5,1,4
27,11/18/2024,2024,November,Monday,Night,Madhesh,Bara,Urban Road,Jeep,Clear,Poor Road Condition,Serious,0,3,3
28,06/12/2022,2022,June,Sunday,Early Morning,Sudurpashchim,Dadeldhura,Highway,Car,Clear,Mechanical Failure,Minor,0,0,2
29,06/12/2024,2024,June,Wednesday,Night,Gandaki,Syangja,Highway,Bus,Rainy,Over-speeding,Minor,0,0,2
30,05/04/2024,2024,May,Saturday,Afternoon,Sudurpashchim,Kailali,Urban Road,Car,Clear,Mechanical Failure,Minor,0,1,2
31,07/16/2024,2024,July,Tuesday,Early Morning,Koshi,Sunsari,Urban Road,Bus,Clear,Over-speeding,Minor,0,1,3
32,09/21/2023,2023,September,Thursday,Evening,Sudurpashchim,Kanchanpur,Rural Road,Car,Clear,Careless Driving,Minor,0,0,1
33,02/22/2024,2024,February,Thursday,Morning,Sudurpashchim,Kanchanpur,Highway,Motorcycle,Clear,Over-speeding,Minor,0,2,3
34,07/11/2020,2020,July,Saturday,Early Morning,Madhesh,Parsa,Rural Road,Motorcycle,Foggy,Careless Driving,Minor,0,2,1
35,04/02/2023,2023,April,Sunday,Early Morning,Bagmati,Lalitpur,Rural Road,Motorcycle,Clear,Mechanical Failure,Serious,0,3,4
36,04/19/2023,2023,April,Wednesday,Morning,Koshi,Morang,Urban Road,Car,Clear,Over-speeding,Minor,0,1,4
37,10/16/2024,2024,October,Wednesday,Morning,Madhesh,Parsa,Rural Road,Motorcycle,Clear,Poor Road Condition,Minor,0,2,2
38,06/09/2021,2021,June,Wednesday,Night,Sudurpashchim,Dadeldhura,Rural Road,Truck,Clear,Over-speeding,Minor,0,2,2
39,05/12/2022,2022,May,Thursday,Early Morning,Karnali,Jajarkot,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,2,1
40,03/01/2020,2020,March,Sunday,Afternoon,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Over-speeding,Fatal,4,1,3
41,12/22/2022,2022,December,Thursday,Afternoon,Koshi,Jhapa,Highway,Motorcycle,Clear,Over-speeding,Minor,0,2,3
42,04/24/2020,2020,April,Friday,Morning,Madhesh,Bara,Highway,Motorcycle,Rainy,Over-speeding,Fatal,1,3,3
43,01/07/2023,2023,January,Saturday,Early Morning,Gandaki,Kaski,Highway,Motorcycle,Clear,Over-speeding,Minor,0,0,1
44,06/07/2022,2022,June,Tuesday,Early Morning,Karnali,Surkhet,Urban Road,Jeep,Clear,Drunk Driving,Minor,0,1,4
45,08/13/2023,2023,August,Sunday,Afternoon,Sudurpashchim,Dadeldhura,Rural Road,Motorcycle,Clear,Mechanical Failure,Minor,0,2,2
46,06/25/2023,2023,June,Sunday,Night,Bagmati,Bhaktapur,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,1,3
47,09/06/2020,2020,September,Sunday,Evening,Koshi,Sunsari,Urban Road,Truck,Rainy,Drunk Driving,Serious,0,4,3
48,05/23/2023,2023,May,Tuesday,Afternoon,Lumbini,Rupandehi,Highway,Motorcycle,Clear,Over-speeding,Serious,0,2,4
49,06/23/2020,2020,June,Tuesday,Night,Bagmati,Makwanpur,Highway,Motorcycle,Clear,Drunk Driving,Serious,0,2,1
50,06/25/2024,2024,June,Tuesday,Early Morning,Koshi,Morang,Highway,Motorcycle,Foggy,Over-speeding,Minor,0,0,2
51,08/10/2021,2021,August,Tuesday,Early Morning,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Careless Driving,Fatal,6,4,1
52,09/14/2021,2021,September,Tuesday,Morning,Bagmati,Makwanpur,Urban Road,Car,Clear,Careless Driving,Minor,0,2,1
53,03/12/2022,2022,March,Saturday,Night,Bagmati,Chitwan,Urban Road,Bus,Rainy,Careless Driving,Minor,0,1,4
54,06/02/2021,2021,June,Wednesday,Afternoon,Bagmati,Makwanpur,Highway,Motorcycle,Clear,Careless Driving,Serious,0,5,3
55,05/24/2020,2020,May,Sunday,Morning,Lumbini,Banke,Urban Road,Motorcycle,Rainy,Drunk Driving,Minor,0,1,1
56,06/30/2020,2020,June,Tuesday,Early Morning,Koshi,Sunsari,Highway,Truck,Clear,Over-speeding,Minor,0,0,2
57,02/06/2024,2024,February,Tuesday,Morning,Koshi,Morang,Rural Road,Car,Clear,Careless Driving,Minor,0,1,3
58,09/01/2021,2021,September,Wednesday,Early Morning,Koshi,Morang,Highway,Jeep,Clear,Careless Driving,Minor,0,2,2
59,03/29/2020,2020,March,Sunday,Morning,Bagmati,Lalitpur,Rural Road,Bus,Clear,Careless Driving,Serious,0,6,4
60,12/12/2021,2021,December,Sunday,Night,Madhesh,Parsa,Rural Road,Motorcycle,Clear,Careless Driving,Minor,0,2,3
61,06/12/2022,2022,June,Sunday,Afternoon,Madhesh,Dhanusha,Rural Road,Car,Rainy,Over-speeding,Minor,0,2,3
62,07/24/2020,2020,July,Friday,Early Morning,Karnali,Jajarkot,Urban Road,Motorcycle,Clear,Over-speeding,Serious,0,4,2
63,08/30/2022,2022,August,Tuesday,Night,Karnali,Surkhet,Highway,Car,Rainy,Drunk Driving,Minor,0,2,1
64,10/02/2020,2020,October,Friday,Early Morning,Madhesh,Bara,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,2,1
65,08/15/2021,2021,August,Sunday,Morning,Lumbini,Banke,Highway,Truck,Rainy,Over-speeding,Fatal,3,4,1
66,12/31/2022,2022,December,Saturday,Evening,Lumbini,Banke,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,0,1
67,03/01/2020,2020,March,Sunday,Early Morning,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Rainy,Mechanical Failure,Fatal,2,4,2
68,12/28/2021,2021,December,Tuesday,Afternoon,Gandaki,Kaski,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,0,2
69,02/01/2020,2020,February,Saturday,Night,Karnali,Jajarkot,Urban Road,Motorcycle,Rainy,Over-speeding,Minor,0,2,1
70,11/14/2020,2020,November,Saturday,Morning,Lumbini,Rupandehi,Rural Road,Truck,Clear,Over-speeding,Fatal,4,2,1
71,07/29/2024,2024,July,Monday,Early Morning,Sudurpashchim,Dadeldhura,Urban Road,Car,Rainy,Mechanical Failure,Minor,0,0,4
72,08/05/2021,2021,August,Thursday,Morning,Sudurpashchim,Kailali,Urban Road,Motorcycle,Clear,Poor Road Condition,Minor,0,2,2
73,10/17/2023,2023,October,Tuesday,Afternoon,Karnali,Dailekh,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,2,3
74,09/08/2022,2022,September,Thursday,Early Morning,Lumbini,Dang,Urban Road,Motorcycle,Foggy,Poor Road Condition,Minor,0,0,1
75,10/30/2024,2024,October,Wednesday,Afternoon,Madhesh,Parsa,Highway,Motorcycle,Rainy,Drunk Driving,Minor,0,1,2
76,01/25/2023,2023,January,Wednesday,Evening,Koshi,Morang,Urban Road,Car,Clear,Careless Driving,Minor,0,1,1
77,02/10/2023,2023,February,Friday,Evening,Lumbini,Dang,Highway,Motorcycle,Rainy,Mechanical Failure,Serious,0,3,4
78,11/03/2021,2021,November,Wednesday,Early Morning,Lumbini,Dang,Highway,Car,Clear,Mechanical Failure,Fatal,6,1,2
79,04/14/2022,2022,April,Thursday,Early Morning,Madhesh,Parsa,Highway,Car,Clear,Drunk Driving,Fatal,2,3,2
80,06/15/2022,2022,June,Wednesday,Morning,Karnali,Dailekh,Urban Road,Jeep,Clear,Poor Road Condition,Minor,0,0,4
81,02/17/2024,2024,February,Saturday,Evening,Bagmati,Bhaktapur,Urban Road,Car,Clear,Drunk Driving,Fatal,5,2,4
82,07/20/2022,2022,July,Wednesday,Night,Gandaki,Kaski,Urban Road,Motorcycle,Clear,Poor Road Condition,Serious,0,5,4
83,07/19/2022,2022,July,Tuesday,Evening,Koshi,Jhapa,Highway,Motorcycle,Foggy,Poor Road Condition,Minor,0,1,2
